sample	country	region	source	date	iso_year	iso_week_nr	iso_week	ST	note	nomenclature_code_2023-03-28	MST-4x1.0	MST-7x1.0	MST-15x1.0	pct_called	QUAL_called
sample_0054	A	A9	clinical	2020-08-13	2020	33	2020W33	87	not_real_data_test_only	C14-C54-C67-A	cluster_67	cluster_54	cluster_100	0.9954233409610984	PASS
sample_0055	B	B3	clinical	2020-08-13	2020	33	2020W33	1	not_real_data_test_only	C35-S149-S229-B	singleton_229	singleton_149	singleton_36	0.9954233409610984	PASS
sample_0056	C	B2	clinical	2020-08-13	2020	33	2020W33	87	not_real_data_test_only	C14-C54-C67-C	cluster_67	cluster_54	cluster_100	0.9948512585812356	PASS
sample_0057	C	B3	clinical	2020-06-08	2020	24	2020W24	3	not_real_data_test_only	C32-S138-S218-C	singleton_218	singleton_138	singleton_25	0.9942791762013728	PASS
sample_0058	A		clinical	2020-07-30	2020	31	2020W31	217	not_real_data_test_only	C28-S67-S145-A	singleton_145	singleton_67	cluster_89	0.9948512585812356	PASS
sample_0059	B	B4	clinical	2020-07-29	2020	31	2020W31	1	not_real_data_test_only	C35-S107-S187-B	singleton_187	singleton_107	cluster_105	0.975400457665904	PASS
sample_0060	C	B4	clinical	2020-07-27	2020	31	2020W31	3	not_real_data_test_only	C32-S74-S152-C	singleton_152	singleton_74	cluster_69	0.9959954233409613	PASS
sample_0061	A	A1	clinical	2020-07-22	2020	30	2020W30	1	not_real_data_test_only	C35-C93-C38-A	cluster_38	cluster_93	cluster_64	0.9937070938215103	PASS
sample_0062	B	B5	clinical	2020-07-22	2020	30	2020W30	1	not_real_data_test_only	C35-S335-S415-B	singleton_415	singleton_335	singleton_222	0.9959954233409613	PASS
sample_0063	A	A2	clinical	2020-07-20	2020	30	2020W30	1	not_real_data_test_only	C35-C92-C37-A	cluster_37	cluster_92	cluster_105	0.9908466819221968	PASS
sample_0064	C	B5	clinical	2020-07-20	2020	30	2020W30	1	not_real_data_test_only	C35-C78-C96-C	cluster_96	cluster_78	cluster_102	0.9948512585812356	PASS
sample_0065	B	B6	clinical	2020-07-07	2020	28	2020W28	2	not_real_data_test_only	C30-C97-C104-B	cluster_104	cluster_97	cluster_91	0.9942791762013728	PASS
sample_0066	A	A3	clinical	2020-06-25	2020	26	2020W26	219	not_real_data_test_only	C25-C35-C44-A	cluster_44	cluster_35	cluster_24	0.9971395881006864	PASS
sample_0067	B	B7	clinical	2020-06-25	2020	26	2020W26	219	not_real_data_test_only	C25-C35-C44-B	cluster_44	cluster_35	cluster_24	0.9965675057208238	PASS
sample_0068	C	B6	clinical	2020-06-25	2020	26	2020W26	1	not_real_data_test_only	C35-S32-S108-C	singleton_108	singleton_32	cluster_102	0.9937070938215103	PASS
sample_0069	C	B7	clinical	2020-06-16	2020	25	2020W25	217	not_real_data_test_only	C28-S182-S262-C	singleton_262	singleton_182	singleton_68	0.9954233409610984	PASS
sample_0070	A	A4	clinical	2020-08-06	2020	32	2020W32	8	not_real_data_test_only	C21-S205-S285-A	singleton_285	singleton_205	singleton_91	0.9965675057208238	PASS
sample_0071	B		clinical	2020-08-06	2020	32	2020W32	1	not_real_data_test_only	C35-C92-C4-B	cluster_4	cluster_92	cluster_105	0.9954233409610984	PASS
sample_0072	C		clinical	2020-08-06	2020	32	2020W32	1	not_real_data_test_only	C35-C92-C4-C	cluster_4	cluster_92	cluster_105	0.9942791762013728	PASS
sample_0073	A	A5	clinical	2020-04-06	2020	15	2020W15	382	not_real_data_test_only	C13-S73-S151-A	singleton_151	singleton_73	cluster_94	0.9971395881006864	PASS
sample_0074	B	B1	clinical	2020-03-06	2020	10	2020W10	3	not_real_data_test_only	C32-C83-S9-B	singleton_9	cluster_83	cluster_59	0.9948512585812356	PASS
sample_0075	C	B1	clinical	2020-05-31	2020	22	2020W22	na	not_real_data_test_only	C27-S324-S404-C	singleton_404	singleton_324	singleton_211	0.9965675057208238	PASS
sample_0076	A	A6	clinical	2020-05-26	2020	22	2020W22	378	not_real_data_test_only	C12-C89-S25-A	singleton_25	cluster_89	cluster_95	0.9977116704805492	PASS
sample_0077	B	B2	clinical	2020-05-26	2020	22	2020W22	1	not_real_data_test_only	C35-S310-S390-B	singleton_390	singleton_310	singleton_197	0.9954233409610984	PASS
sample_0078	A	A7	clinical	2020-05-18	2020	21	2020W21	1	not_real_data_test_only	C35-C118-C114-A	cluster_114	cluster_118	cluster_105	0.9959954233409613	PASS
sample_0079	C	B2	clinical	2020-05-18	2020	21	2020W21	1	not_real_data_test_only	C35-C118-C114-C	cluster_114	cluster_118	cluster_105	0.9959954233409613	PASS
sample_0080	B	B3	clinical	2020-08-05	2020	32	2020W32	1	not_real_data_test_only	C35-C95-C103-B	cluster_103	cluster_95	cluster_102	0.9948512585812356	PASS
sample_0081	C	B3	clinical	2020-04-05	2020	14	2020W14	1	not_real_data_test_only	C35-C81-S37-C	singleton_37	cluster_81	cluster_84	0.9954233409610984	PASS
sample_0082	A	A8	clinical	2020-02-05	2020	6	2020W06	666	not_real_data_test_only	C17-S219-S299-A	singleton_299	singleton_219	singleton_105	0.9931350114416476	PASS
sample_0083	B	B4	clinical	2020-04-29	2020	18	2020W18	na	not_real_data_test_only	C28-S217-S297-B	singleton_297	singleton_217	singleton_103	0.9959954233409613	PASS
sample_0084	A	A9	clinical	2020-04-28	2020	18	2020W18	666	not_real_data_test_only	C17-S299-S379-A	singleton_379	singleton_299	singleton_186	0.9942791762013728	PASS
sample_0085	C	B4	clinical	2020-04-28	2020	18	2020W18	219	not_real_data_test_only	C25-S332-S412-C	singleton_412	singleton_332	singleton_219	0.9971395881006864	PASS
sample_0086	B	B5	clinical	2020-04-16	2020	16	2020W16	16	not_real_data_test_only	C19-C26.1-C31.1-B	cluster_31.1	cluster_26.1	cluster_19	0.9948512585812356	PASS
sample_0087	C	B5	clinical	2020-03-20	2020	12	2020W12	1	not_real_data_test_only	C35-S346-S426-C	singleton_426	singleton_346	singleton_233	0.9954233409610984	PASS
sample_0088	A		clinical	2020-02-14	2020	7	2020W07	9	not_real_data_test_only	C26-S21-S97-A	singleton_97	singleton_21	cluster_28	0.998283752860412	PASS
sample_0089	B	B6	clinical	2020-02-13	2020	7	2020W07	3	not_real_data_test_only	C32-S178-S258-B	singleton_258	singleton_178	singleton_64	0.9959954233409613	PASS
sample_0090	C	B6	clinical	2020-01-31	2020	5	2020W05	1	not_real_data_test_only	C35-S183-S263-C	singleton_263	singleton_183	singleton_69	0.9942791762013728	PASS
sample_0091	A	A1	clinical	2020-06-01	2020	23	2020W23	3	not_real_data_test_only	C32-S340-S420-A	singleton_420	singleton_340	singleton_227	0.9897025171624714	PASS
sample_0092	B	B7	clinical	2019-02-12	2019	7	2019W07	1	not_real_data_test_only	C35-S265-S345-B	singleton_345	singleton_265	singleton_152	0.9948512585812356	PASS
sample_0093	C	B7	clinical	2019-11-29	2019	48	2019W48	1	not_real_data_test_only	C35-C93-C38-C	cluster_38	cluster_93	cluster_64	0.9954233409610984	PASS
sample_0094	A	A2	clinical	2019-11-25	2019	48	2019W48	87	not_real_data_test_only	C14-C106-S31-A	singleton_31	cluster_106	cluster_100	0.9959954233409613	PASS
sample_0095	B		clinical	2019-11-18	2019	47	2019W47	87	not_real_data_test_only	C14-S144-S224-B	singleton_224	singleton_144	singleton_31	0.9959954233409613	PASS
sample_0096	A	A3	clinical	2019-10-11	2019	41	2019W41	9	not_real_data_test_only	C26-C124-C119-A	cluster_119	cluster_124	cluster_111	0.9971395881006864	PASS
sample_0097	C		clinical	2019-10-11	2019	41	2019W41	9	not_real_data_test_only	C26-C124-C119-C	cluster_119	cluster_124	cluster_111	0.9971395881006864	PASS
sample_0098	B	B1	clinical	2019-07-11	2019	28	2019W28	1	not_real_data_test_only	C35-C93-C38-B	cluster_38	cluster_93	cluster_64	0.9914187643020596	PASS
sample_0099	C	B1	clinical	2019-10-27	2019	43	2019W43	1	not_real_data_test_only	C35-C68-C85-C	cluster_85	cluster_68	cluster_50	0.9948512585812356	PASS
sample_0100	A	A4	clinical	2019-08-10	2019	32	2019W32	1	not_real_data_test_only	C35-S197-S277-A	singleton_277	singleton_197	singleton_83	0.9954233409610984	PASS
sample_0101	B	B2	clinical	2019-09-23	2019	39	2019W39	121	not_real_data_test_only	C31-S50-S128-B	singleton_128	singleton_50	cluster_51	0.9971395881006864	PASS
sample_0102	C	B2	clinical	2019-09-21	2019	38	2019W38	87	not_real_data_test_only	C14-S148-S228-C	singleton_228	singleton_148	singleton_35	0.9954233409610984	PASS
sample_0103	A	A5	clinical	2019-09-16	2019	38	2019W38	3	not_real_data_test_only	C32-S278-S358-A	singleton_358	singleton_278	singleton_165	0.9965675057208238	PASS
sample_0104	B	B3	clinical	2019-09-14	2019	37	2019W37	1	not_real_data_test_only	C35-S166-S246-B	singleton_246	singleton_166	singleton_53	0.9959954233409613	PASS
sample_0105	C	B3	clinical	2019-08-16	2019	33	2019W33	1	not_real_data_test_only	C35-C93-C38-C	cluster_38	cluster_93	cluster_64	0.9937070938215103	PASS
sample_0106	A	A6	clinical	2019-08-15	2019	33	2019W33	388	not_real_data_test_only	C16-S95-S175-A	singleton_175	singleton_95	cluster_96	0.9925629290617848	PASS
sample_0107	B	B4	clinical	2019-08-13	2019	33	2019W33	1	not_real_data_test_only	C35-C93-C38-B	cluster_38	cluster_93	cluster_64	0.9931350114416476	PASS
sample_0108	C	B4	clinical	2019-08-13	2019	33	2019W33	1	not_real_data_test_only	C35-C93-C38-C	cluster_38	cluster_93	cluster_64	0.9937070938215103	PASS
sample_0109	A	A7	clinical	2019-08-08	2019	32	2019W32	1	not_real_data_test_only	C35-C93-C38-A	cluster_38	cluster_93	cluster_64	0.9925629290617848	PASS
sample_0110	B	B5	clinical	2019-07-08	2019	28	2019W28	382	not_real_data_test_only	C13-C103-C98-B	cluster_98	cluster_103	cluster_68	0.9971395881006864	PASS
sample_0111	C	B5	clinical	2019-06-08	2019	23	2019W23	1	not_real_data_test_only	C35-S161-S241-C	singleton_241	singleton_161	singleton_48	0.9891304347826086	PASS
sample_0112	A	A8	clinical	2019-07-29	2019	31	2019W31	29	not_real_data_test_only	C11-C116-S123-A	singleton_123	cluster_116	cluster_92	0.9931350114416476	PASS
sample_0113	B	B6	clinical	2019-11-07	2019	45	2019W45	1	not_real_data_test_only	C35-C68-C85-B	cluster_85	cluster_68	cluster_50	0.9942791762013728	PASS
sample_0114	C	B6	clinical	2019-08-07	2019	32	2019W32	692	not_real_data_test_only	C35-S246-S326-C	singleton_326	singleton_246	singleton_132	0.9954233409610984	PASS
sample_0115	A	A9	clinical	2019-07-07	2019	27	2019W27	388	not_real_data_test_only	C16-S103-S183-A	singleton_183	singleton_103	cluster_106	0.9954233409610984	PASS
sample_0116	B	B7	clinical	2019-03-07	2019	10	2019W10	219	not_real_data_test_only	C25-S200-S280-B	singleton_280	singleton_200	singleton_86	0.9965675057208238	PASS
sample_0117	C	B7	clinical	2019-06-27	2019	26	2019W26	2	not_real_data_test_only	C30-S315-S395-C	singleton_395	singleton_315	singleton_202	0.990274599542334	PASS
sample_0118	A		clinical	2019-06-21	2019	25	2019W25	7	not_real_data_test_only	C29-C19-C23-A	cluster_23	cluster_19	cluster_13	0.9977116704805492	PASS
sample_0119	B		clinical	2019-06-21	2019	25	2019W25	7	not_real_data_test_only	C29-C19-C23-B	cluster_23	cluster_19	cluster_13	0.998283752860412	PASS
sample_0120	C		clinical	2019-06-18	2019	25	2019W25	1	not_real_data_test_only	C35-S127-S207-C	singleton_207	singleton_127	singleton_14	0.9931350114416476	PASS
sample_0121	A	A1	clinical	2019-12-06	2019	49	2019W49	1	not_real_data_test_only	C35-C93-C38-A	cluster_38	cluster_93	cluster_64	0.9942791762013728	PASS
sample_0122	B	B1	clinical	2019-07-06	2019	27	2019W27	na	not_real_data_test_only	S16-S364-S444-B	singleton_444	singleton_364	singleton_250	0.9885583524027459	PASS
sample_0123	C	B1	clinical	2019-04-06	2019	14	2019W14	9	not_real_data_test_only	C26-C12-C16-C	cluster_16	cluster_12	cluster_88	0.9971395881006864	PASS
sample_0124	A	A2	food	2019-05-21	2019	21	2019W21	1	not_real_data_test_only	C35-C46-C59-A	cluster_59	cluster_46	cluster_84	0.9954233409610984	PASS
sample_0125	B	B2	food	2019-05-21	2019	21	2019W21	155	not_real_data_test_only	C33-C22-C27-B	cluster_27	cluster_22	cluster_16	0.9965675057208238	PASS
sample_0126	A	A3	clinical	2019-05-17	2019	20	2019W20	1	not_real_data_test_only	C35-C46-C59-A	cluster_59	cluster_46	cluster_84	0.9908466819221968	PASS
sample_0127	C	B2	clinical	2019-05-17	2019	20	2019W20	1	not_real_data_test_only	C35-C46-C59-C	cluster_59	cluster_46	cluster_84	0.9959954233409613	PASS
sample_0128	B	B3	clinical	2019-10-05	2019	40	2019W40	1	not_real_data_test_only	C35-S337-S417-B	singleton_417	singleton_337	singleton_224	0.9948512585812356	PASS
sample_0129	C	B3	clinical	2019-09-05	2019	36	2019W36	na	not_real_data_test_only	C18-S242-S322-C	singleton_322	singleton_242	singleton_128	0.9977116704805492	PASS
sample_0130	A	A4	clinical	2019-07-05	2019	27	2019W27	1	not_real_data_test_only	C35-C78-C96-A	cluster_96	cluster_78	cluster_102	0.9919908466819222	PASS
sample_0131	B	B4	clinical	2019-04-05	2019	14	2019W14	6	not_real_data_test_only	C24-S240-S320-B	singleton_320	singleton_240	singleton_126	0.9971395881006864	PASS
sample_0132	C	B4	clinical	2019-01-05	2019	1	2019W01	87	not_real_data_test_only	C14-C106-C79-C	cluster_79	cluster_106	cluster_100	0.9954233409610984	PASS
sample_0133	A	A5	clinical	2019-12-04	2019	49	2019W49	1	not_real_data_test_only	C35-S97-S177-A	singleton_177	singleton_97	cluster_105	0.9879862700228832	PASS
sample_0134	B	B5	clinical	2019-10-04	2019	40	2019W40	1	not_real_data_test_only	C35-S108-S188-B	singleton_188	singleton_108	cluster_105	0.9736842105263158	PASS
sample_0135	A	A6	clinical	2019-08-04	2019	31	2019W31	1	not_real_data_test_only	C35-S172-S252-A	singleton_252	singleton_172	singleton_59	0.9948512585812356	PASS
sample_0136	B	B6	clinical	2019-08-04	2019	31	2019W31	217	not_real_data_test_only	C28-S255-S335-B	singleton_335	singleton_255	singleton_142	0.9937070938215103	PASS
sample_0137	C	B5	clinical	2019-08-04	2019	31	2019W31	1	not_real_data_test_only	C35-C93-C38-C	cluster_38	cluster_93	cluster_64	0.9931350114416476	PASS
sample_0138	C	B6	clinical	2019-03-22	2019	12	2019W12	1	not_real_data_test_only	C35-S70-S148-C	singleton_148	singleton_70	cluster_105	0.9948512585812356	PASS
sample_0139	A	A7	clinical	2019-03-21	2019	12	2019W12	382	not_real_data_test_only	C13-C103-C98-A	cluster_98	cluster_103	cluster_68	0.9965675057208238	PASS
sample_0140	B	B7	clinical	2019-03-20	2019	12	2019W12	6	not_real_data_test_only	C24-S303-S383-B	singleton_383	singleton_303	singleton_190	0.9977116704805492	PASS
sample_0141	C	B7	clinical	2019-04-03	2019	14	2019W14	3	not_real_data_test_only	C32-S209-S289-C	singleton_289	singleton_209	singleton_95	0.9942791762013728	PASS
sample_0142	A	A8	clinical	2019-02-23	2019	8	2019W08	9	not_real_data_test_only	C26-S311-S391-A	singleton_391	singleton_311	singleton_198	0.9971395881006864	PASS
sample_0143	B		clinical	2019-02-20	2019	8	2019W08	6	not_real_data_test_only	C24-C102-C101-B	cluster_101	cluster_102	cluster_67	0.9937070938215103	PASS
sample_0144	C		clinical	2019-02-19	2019	8	2019W08	1	not_real_data_test_only	C35-C105-S57-C	singleton_57	cluster_105	cluster_84	0.9954233409610984	PASS
sample_0145	A	A9	clinical	2019-02-18	2019	8	2019W08	206	not_real_data_test_only	S1-S348-S428-A	singleton_428	singleton_348	singleton_235	0.9965675057208238	PASS
sample_0146	B	B1	clinical	2019-02-15	2019	7	2019W07	87	not_real_data_test_only	C14-C106-S6-B	singleton_6	cluster_106	cluster_100	0.9954233409610984	PASS
sample_0147	C	B1	clinical	2019-10-02	2019	40	2019W40	2	not_real_data_test_only	C30-C74-C91-C	cluster_91	cluster_74	cluster_55	0.9959954233409613	PASS
sample_0148	A		clinical	2019-06-02	2019	22	2019W22	87	not_real_data_test_only	C14-C59-C72-A	cluster_72	cluster_59	cluster_43	0.9942791762013728	PASS
sample_0149	B	B2	clinical	2019-12-01	2019	48	2019W48	876	not_real_data_test_only	C35-S232-S312-B	singleton_312	singleton_232	singleton_118	0.9942791762013728	PASS
sample_0150	C	B2	clinical	2019-10-01	2019	40	2019W40	3	not_real_data_test_only	C32-S11-S87-C	singleton_87	singleton_11	cluster_73	0.9954233409610984	PASS
sample_0151	A	A1	clinical	2019-07-01	2019	27	2019W27	3	not_real_data_test_only	C32-C104-S55-A	singleton_55	cluster_104	cluster_69	0.9965675057208238	PASS
sample_0152	B	B3	clinical	2018-12-30	2018	52	2018W52	4	not_real_data_test_only	C34-S298-S378-B	singleton_378	singleton_298	singleton_185	0.9954233409610984	PASS
sample_0153	A	A2	clinical	2018-12-29	2018	52	2018W52	382	not_real_data_test_only	C13-C117-C113-A	cluster_113	cluster_117	cluster_94	0.9971395881006864	PASS
sample_0154	C	B3	clinical	2018-12-29	2018	52	2018W52	382	not_real_data_test_only	C13-C117-C113-C	cluster_113	cluster_117	cluster_94	0.9971395881006864	PASS
sample_0155	B	B4	clinical	2018-12-28	2018	52	2018W52	1	not_real_data_test_only	C35-C93-C38-B	cluster_38	cluster_93	cluster_64	0.9954233409610984	PASS
sample_0156	C	B4	clinical	2018-12-23	2018	51	2018W51	213	not_real_data_test_only	S3-S350-S430-C	singleton_430	singleton_350	singleton_237	0.9948512585812356	PASS
sample_0157	A	A3	clinical	2018-12-22	2018	51	2018W51	388	not_real_data_test_only	C16-C122-C117-A	cluster_117	cluster_122	cluster_106	0.9959954233409613	PASS
sample_0158	B	B5	clinical	2018-12-22	2018	51	2018W51	388	not_real_data_test_only	C16-C122-C117-B	cluster_117	cluster_122	cluster_106	0.9959954233409613	PASS
sample_0159	C	B5	clinical	2018-12-15	2018	50	2018W50	1	not_real_data_test_only	C35-C94-S40-C	singleton_40	cluster_94	cluster_65	0.9948512585812356	PASS
sample_0160	A	A4	clinical	2018-11-14	2018	46	2018W46	1	not_real_data_test_only	C35-S15-S91-A	singleton_91	singleton_15	cluster_74	0.9954233409610984	PASS
sample_0161	B	B6	clinical	2018-10-16	2018	42	2018W42	5	not_real_data_test_only	C18-S347-S427-B	singleton_427	singleton_347	singleton_234	0.998283752860412	PASS
