partition	cluster	cluster_length	samples
avg_clade-2x1.0	cluster_338780	3	USA/CA-CDC-QDX48043705/2023|OQ713302.1|2023-03-16,USA/CA-CDC-QDX48366144/2023|OQ783606.1|2023-03-25,USA/PA-CDC-LC1032777/2023|OQ733741.1|2023-03-18
avg_clade-2x1.0	cluster_351917	3	USA/CO-CDPHE-2103806611/2023|OQ758389.1|2023-03-08,USA/VA-CAV_VAS3N_00018469_01/2023|OQ843621.1|2023-03-06,USA/MN-CDC-VSX-A00295/2023|OQ651536.1|2023-03-04
avg_clade-2x1.0	cluster_391206	3	CHN/SH-XG2303-1852/2023|C_AA004790.1|2023-03-17,CHN/SH-XG2304-2200/2023|C_AA009541.1|2023-03-21,CHN/SH-XG2304-2187/2023|C_AA009534.1|2023-03-28
avg_clade-2x1.0	cluster_302594	1	England/PLYM-326F81BE/2023|OX455461.1|2023-03-06
avg_clade-2x1.0	singleton_246467	1	BHR/831103205/2023|OQ781615.1|2023-03-14
avg_clade-2x1.0	cluster_363937	3	England/PHEC-YYET7UT/2023|2023-04-01,USA/MN-MDH-35039/2023|OQ856908.1|2023-03-28,USA/MA-CDCBI-CRSP_VMBXQ2H7NXDEOXKU/2023|OQ727706.1|2023-03-24
avg_clade-2x1.0	cluster_370029	2	USA/AZ-CDC-QDX48496667/2023|OQ825284.1|2023-03-28,England/PHEP-YYGUN54/2023|2023-04-04
avg_clade-2x1.0	cluster_341579	2	Switzerland/ZH-UZH-IMV-3ba699ce/2023|OX463697.1|2023-04-05,Switzerland/ZH-UZH-IMV-3ba6990e/2023|OX463610.1|2023-04-01
avg_clade-2x1.0	cluster_396221	1	USA/NC-CDC-LC1034323/2023|OQ802575.1|2023-03-30
avg_clade-2x1.0	cluster_398286	21	Scotland/SCOT-29680/2023|2023-03-16,Scotland/SCOT-29627/2023|2023-04-04,Scotland/SCOT-29541/2023|2023-03-30,Scotland/SCOT-29658/2023|2023-04-10,Scotland/SCOT-29626/2023|2023-04-04,Scotland/SCOT-29540/2023|2023-03-30,Scotland/SCOT-29571/2023|2023-04-01,Scotland/SCOT-27749/2023|OX460747.1|2023-03-08,Scotland/SCOT-29141/2023|2023-03-31,Scotland/SCOT-28918/2023|OX463489.1|2023-03-13,Scotland/SCOT-28918/2023|2023-03-13,Scotland/SCOT-28414/2023|OX463091.1|2023-03-25,Scotland/SCOT-28414/2023|2023-03-25,England/BRBR-3270E99E/2023|OX461712.1|2023-03-22,England/BRBR-3270E99E/2023|2023-03-22,Scotland/SCOT-27138/2023|OX456656.1|2023-03-04,Scotland/SCOT-27138/2023|2023-03-04,Switzerland/VD-CHUV-GEN16496/2023|OX464071.1|2023-04-03,USA/PA-CDC-QDX48636886/2023|OQ827634.1|2023-04-02,USA/PA-CDC-QDX48636885/2023|OQ827608.1|2023-04-02,Scotland/QEUH-326F71FB/2023|OX455292.1|2023-03-01
avg_clade-2x1.0	cluster_307713	5	USA/WA-CDC-UW23033110830/2023|OQ842342.1|2023-03-31,USA/WA-CDC-UW23030358338/2023|OQ619254.1|2023-03-03,USA/WA-CDC-UW23030185339/2023|OQ619235.1|2023-03-01,USA/WA-CDC-UW23030184000/2023|OQ619238.1|2023-03-01,USA/WA-CDC-UW23030394661/2023|OQ619247.1|2023-03-03
avg_clade-2x1.0	cluster_345647	2	USA/FL-CDC-QDX47771988/2023|OQ704876.1|2023-03-09,England/PHEC-YYEXBAE/2023|2023-03-21
avg_clade-2x1.0	singleton_243590	1	England/PHEC-YYEWGOE/2023|2023-04-10
avg_clade-2x1.0	cluster_363037	1	USA/FL-CDC-QDX47492750/2023|OQ654390.1|2023-03-02
avg_clade-2x1.0	cluster_364833	7	Switzerland/VD-CHUV-GEN16477/2023|OX464039.1|2023-03-27,Switzerland/VD-CHUV-GEN16379/2023|OX463725.1|2023-03-18,Switzerland/VD-CHUV-GEN16464/2023|OX464068.1|2023-03-28,Switzerland/VD-CHUV-GEN16463/2023|OX464084.1|2023-03-28,Switzerland/VD-CHUV-GEN16475/2023|OX464056.1|2023-03-27,Switzerland/VD-CHUV-GEN16497/2023|OX464032.1|2023-04-03,Switzerland/VD-CHUV-GEN16469/2023|OX464072.1|2023-03-26
avg_clade-2x1.0	cluster_400547	4	England/BRBR-32706B63/2023|OX457922.1|2023-03-10,England/BRBR-3270923E/2023|OX458720.1|2023-03-15,England/BRBR-3270923E/2023|2023-03-15,England/BRBR-326FA996/2023|OX453740.1|2023-03-06
avg_clade-2x1.0	cluster_390078	3	Scotland/SCOT-29054/2023|2023-03-30,Scotland/SCOT-29476/2023|2023-03-29,Scotland/SCOT-29377/2023|2023-03-24
avg_clade-2x1.0	cluster_339099	23	England/PHEP-YYGT65N/2023|2023-03-29,England/PHEC-YYETOTN/2023|2023-03-28,England/BRBR-32716C12/2023|2023-03-30,Scotland/SCOT-28672/2023|OX463640.1|2023-03-27,Scotland/SCOT-28672/2023|2023-03-27,Scotland/SCOT-29456/2023|2023-03-27,Scotland/SCOT-29425/2023|2023-03-31,England/PHEC-YYEURPU/2023|2023-04-04,Scotland/SCOT-28785/2023|OX463588.1|2023-03-14,Scotland/SCOT-28785/2023|2023-03-14,England/PHEC-YYEOMIB/2023|2023-03-26,Scotland/SCOT-28684/2023|OX463397.1|2023-03-27,England/BRBR-32710BDF/2023|OX462275.1|2023-03-18,Scotland/SCOT-29309/2023|2023-03-26,Scotland/SCOT-28684/2023|2023-03-27,England/PHEC-YYETD1P/2023|2023-03-28,England/BRBR-32710BDF/2023|2023-03-18,England/PHEC-YYEQPTC/2023|2023-03-16,England/PHEC-YYEQP44/2023|2023-03-18,Scotland/SCOT-27728/2023|OX460809.1|2023-03-10,Scotland/SCOT-28280/2023|OX463038.1|2023-03-24,Scotland/SCOT-29101/2023|2023-03-27,Scotland/SCOT-28280/2023|2023-03-24
avg_clade-2x1.0	singleton_269238	1	CHN/ZJCDC669/2023|C_AA007864.1|2023-03-29
avg_clade-2x1.0	singleton_248059	1	England/PHEC-YYEJMEM/2023|2023-03-02
avg_clade-2x1.0	cluster_359815	2	USA/FL-CDC-QDX48587427/2023|OQ827353.1|2023-03-31,USA/PA-BOL-M23018660/2023|OQ715309.1|2023-03-20
avg_clade-2x1.0	cluster_350514	2	USA/CA-CDC-QDX47644409/2023|OQ655980.1|2023-03-06,USA/CA-CDPH-6000015297/2023|OQ822709.1|2023-03-10
avg_clade-2x1.0	cluster_368293	1	USA/NM-CDC-LC1033658/2023|OQ748246.1|2023-03-20
avg_clade-2x1.0	cluster_354387	1	USA/KY-CDC-LC1033373/2023|OQ748435.1|2023-03-24
avg_clade-2x1.0	cluster_340376	3	USA/NY-CDC-LC1034123/2023|OQ802490.1|2023-03-29,USA/TX-CDC-QDX48192820/2023|OQ782309.1|2023-03-20,USA/NY-CDC-LC1026122/2023|OQ661480.1|2023-03-10
avg_clade-2x1.0	cluster_350621	9	USA/OSPHL08327/2023|OQ651034.1|2023-03-09,USA/2254225/2023|OQ727218.1|2023-03-11,USA/TX-CDC-QDX48685318/2023|OQ827720.1|2023-04-03,USA/TX-CDC-QDX48496804/2023|OQ825648.1|2023-03-29,USA/VA-CDC-LC1034609/2023|OQ802393.1|2023-03-28,USA/MA-CDC-LC1034705/2023|OQ802566.1|2023-03-30,USA/MO-CDC-QDX48587318/2023|OQ825759.1|2023-03-30,USA/2254224/2023|OQ727217.1|2023-03-12,USA/2254233/2023|OQ727223.1|2023-03-14
avg_clade-2x1.0	singleton_275595	1	CHN/JXGCDC-185/2023|C_AA004839.1|2023-03-27
avg_clade-2x1.0	cluster_362644	1	USA/SC-CDC-QDX47696366/2023|OQ684497.1|2023-03-08
avg_clade-2x1.0	cluster_391500	1	CHN/XJCDCCJ-022/2023|C_AA002386.1|2023-03-16
avg_clade-2x1.0	cluster_344476	2	USA/CA-CDC-VSX-A064537/2023|OQ651717.1|2023-03-07,USA/CA-CDC-LC1026839/2023|OQ661022.1|2023-03-07
avg_clade-2x1.0	cluster_397582	1	USA/NJ-CDC-QDX48144058/2023|OQ728495.1|2023-03-20
avg_clade-2x1.0	cluster_398263	1	England/PHEC-YYEMFKJ/2023|2023-03-09
avg_clade-2x1.0	cluster_372518	2	England/PHEP-YYGTOCX/2023|2023-03-24,England/DHSC-CYR9J3I/2023|2023-03-18
avg_clade-2x1.0	cluster_359897	1	USA/CA-CDC-LC1026934/2023|OQ661247.1|2023-03-08
avg_clade-2x1.0	cluster_347292	3	England/PHEP-YYG1EGB/2023|2023-03-31,England/PHEC-YYEUHNT/2023|2023-04-08,England/PHEP-YYGXW5T/2023|2023-03-07
avg_clade-2x1.0	cluster_396955	1	USA/PA-CDC-QDX47492233/2023|OQ654498.1|2023-03-02
avg_clade-2x1.0	singleton_252312	1	USA/AZ-CDC-LC1029431/2023|OQ699385.1|2023-03-11
avg_clade-2x1.0	cluster_308491	4	England/BRBR-326FE1F4/2023|OX455047.1|2023-03-07,England/DHSC-CYFJYN3/2023|2023-03-09,England/PLYM-326FD6C9/2023|OX455208.1|2023-03-07,England/DHSC-CYR4FYS/2023|2023-03-10
avg_clade-2x1.0	cluster_348543	5	USA/MI-CDC-LC1032741/2023|OQ733709.1|2023-03-17,USA/VA-CDC-QDX48365447/2023|OQ783784.1|2023-03-26,USA/CA-CDC-LC1033882/2023|OQ748607.1|2023-03-29,USA/OK-CDC-QDX47418159/2023|OQ643888.1|2023-03-01,USA/FL-CDC-QDX47696794/2023|OQ684205.1|2023-03-07
avg_clade-2x1.0	cluster_347088	1	USA/PA-CDC-LC1032788/2023|OQ733728.1|2023-03-17
avg_clade-2x1.0	cluster_347553	9	England/PHEP-YYGTJ9X/2023|2023-03-22,England/BRBR-326F16E3/2023|2023-03-03,England/BRBR-326FA4B3/2023|OX454752.1|2023-03-06,England/BRBR-326F32B0/2023|2023-03-02,England/BRBR-326F37B1/2023|OX452105.1|2023-03-02,England/BRBR-326F411C/2023|OX452423.1|2023-03-02,England/QEUH-326F61A1/2023|OX455131.1|2023-03-01,England/QEUH-32701290/2023|OX456149.1|2023-03-08,England/PHEC-YYEKXBU/2023|2023-03-03
avg_clade-2x1.0	singleton_243163	1	England/PHEC-YYEUGFB/2023|2023-04-05
avg_clade-2x1.0	cluster_385067	2	USA/MD-CDC-QDX47594490/2023|OQ655796.1|2023-03-06,USA/IN-CDC-QDX47595611/2023|OQ655666.1|2023-03-05
avg_clade-2x1.0	singleton_226762	1	USA/WA-CDC-UW23031712749/2023|OQ704479.1|2023-03-17
avg_clade-2x1.0	singleton_222093	1	Wales/QEUH-326F4E33/2023|OX454830.1|2023-03-03
avg_clade-2x1.0	cluster_351532	2	England/PHEC-YYEXOS7/2023|2023-03-21,England/PHEC-YYEPYO7/2023|2023-03-14
avg_clade-2x1.0	cluster_353516	2	USA/NY-CDC-LC1025789/2023|OQ642871.1|2023-03-02,USA/NJ-CDC-QDX47973723/2023|OQ712977.1|2023-03-15
avg_clade-2x1.0	cluster_354544	19	USA/RI-CDC-LC1026650/2023|OQ661566.1|2023-03-12,USA/FL-CDC-QDX47771718/2023|OQ684807.1|2023-03-10,USA/TX-CDC-QDX47870572/2023|OQ705259.1|2023-03-11,USA/DE-DHSS-B1276470/2023|OQ817024.1|2023-03-10,USA/MO-CDC-QDX48193012/2023|OQ782415.1|2023-03-21,USA/MO-CDC-QDX48415204/2023|OQ783365.1|2023-03-23,USA/FL-CDC-QDX48094983/2023|OQ727728.1|2023-03-14,USA/FL-CDC-QDX48415384/2023|OQ825215.1|2023-03-27,USA/FL-CDC-QDX48316468/2023|OQ783335.1|2023-03-23,USA/FL-CDC-QDX48591088/2023|OQ825312.1|2023-03-28,USA/FL-CDC-QDX48316490/2023|OQ783204.1|2023-03-25,USA/NJ-PHEL-V23009643/2023|OQ857504.1|2023-04-10,USA/CA-CDC-LC1029308/2023|OQ699662.1|2023-03-17,USA/MA-CDCBI-CRSP_5KX6IBP72LTAR32I/2023|OQ641860.1|2023-03-08,USA/NJ-CDC-QDX47869935/2023|OQ705354.1|2023-03-12,USA/FL-CDC-QDX47772042/2023|OQ684859.1|2023-03-10,USA/NY-CDC-QDX47594370/2023|OQ655439.1|2023-03-04,USA/NY-CDC-QDX47594297/2023|OQ655229.1|2023-03-02,USA/NC-CDC-LC1036040/2023|OQ833152.1|2023-04-09
avg_clade-2x1.0	cluster_345970	4	USA/FL-CDC-QDX48316503/2023|OQ783210.1|2023-03-25,England/PHEC-YYE1AO4/2023|2023-04-01,USA/PA-CDC-QDX48415188/2023|OQ825254.1|2023-03-27,England/PHEC-YYEUFJ4/2023|2023-04-05
avg_clade-2x1.0	cluster_393474	2	USA/MI-CDC-QDX47973857/2023|OQ712726.1|2023-03-13,USA/MI-CDC-QDX47595579/2023|OQ655698.1|2023-03-05
avg_clade-2x1.0	cluster_310967	1	England/BRBR-3270F960/2023|2023-03-20
avg_clade-2x1.0	cluster_341435	22	England/BRBR-32709B06/2023|OX458428.1|2023-03-16,England/BRBR-32709B06/2023|2023-03-16,England/BRBR-32709C5E/2023|OX458851.1|2023-03-16,England/BRBR-32709C5E/2023|2023-03-16,England/BRBR-32709B9D/2023|2023-03-16,England/BRBR-3270E9DA/2023|OX461717.1|2023-03-20,England/BRBR-32709B9D/2023|OX458518.1|2023-03-16,England/BRBR-327099DF/2023|OX458534.1|2023-03-16,England/BRBR-32709C12/2023|OX458498.1|2023-03-16,England/BRBR-32709948/2023|OX458838.1|2023-03-16,England/BRBR-3270E9DA/2023|2023-03-20,England/BRBR-327099DF/2023|2023-03-16,England/BRBR-32709C12/2023|2023-03-16,England/BRBR-32709DA6/2023|2023-03-16,England/BRBR-32709DA6/2023|OX458415.1|2023-03-16,England/BRBR-32709975/2023|2023-03-16,England/BRBR-3270C70F/2023|OX459305.1|2023-03-20,England/BRBR-32709975/2023|OX458348.1|2023-03-16,England/BRBR-3270C0B9/2023|OX459757.1|2023-03-20,England/BRBR-3270C70F/2023|2023-03-20,England/BRBR-3270C5E7/2023|OX459722.1|2023-03-20,England/BRBR-3270C5E7/2023|2023-03-20
avg_clade-2x1.0	cluster_341691	4	BHR/680403086/2023|OQ781600.1|2023-03-14,USA/NJ-CDC-QDX47869874/2023|OQ705170.1|2023-03-11,USA/NJ-CDC-QDX48094628/2023|OQ728358.1|2023-03-19,USA/NY-CDC-LC1032499/2023|OQ734210.1|2023-03-24
avg_clade-2x1.0	cluster_302614	1	England/PHEC-YYEKP64/2023|2023-03-05
avg_clade-2x1.0	cluster_352153	8	England/PHEC-YYEK698/2023|2023-03-06,England/PHEC-YYEXBJ8/2023|2023-03-16,England/PHEC-YYEWEUY/2023|2023-03-31,England/PHEC-YYEXBX5/2023|2023-03-17,England/PHEC-YYEW8HX/2023|2023-03-31,England/PHEC-YYETWOY/2023|2023-03-19,England/PHEC-YYETWQF/2023|2023-03-19,England/PHEC-YYEXE1P/2023|2023-03-12
avg_clade-2x1.0	cluster_350568	10	USA/NY-CDC-QDX47869922/2023|OQ705450.1|2023-03-12,USA/UT-UPHL-230417310956/2023|OQ848282.1|2023-04-09,USA/FL-CDC-QDX48685567/2023|OQ827901.1|2023-04-03,USA/UT-UPHL-230407847302/2023|OQ803138.1|2023-04-02,USA/UT-UPHL-230407538467/2023|OQ803021.1|2023-04-02,USA/FL-CDC-QDX48193228/2023|OQ782256.1|2023-03-19,USA/FL-CDC-LC1030302/2023|OQ712147.1|2023-03-13,USA/NY-CDC-QDX47418044/2023|OQ644073.1|2023-03-01,USA/NY-CDC-VSX-A064048/2023|OQ609511.1|2023-03-02,USA/MT-MTPHL-4090927/2023|OQ694842.1|2023-03-14
avg_clade-2x1.0	cluster_367082	1	USA/CA-CDC-LC1026920/2023|OQ661132.1|2023-03-08
avg_clade-2x1.0	cluster_351089	2	USA/NY-CDC-LC1026228/2023|OQ661183.1|2023-03-08,USA/FL-CDC-QDX47870611/2023|OQ705674.1|2023-03-13
avg_clade-2x1.0	cluster_386368	3	USA/DE-DHSS-B1276439/2023|OQ733227.1|2023-03-06,USA/DE-DHSS-B1276531/2023|OQ817072.1|2023-03-22,USA/DE-DHSS-B1276495/2023|OQ817046.1|2023-03-14
avg_clade-2x1.0	cluster_377678	1	Switzerland/GE-HUG-40815233/2023|OX455782.1|2023-03-05
avg_clade-2x1.0	cluster_376145	5	USA/CA-CDC-QDX48192851/2023|OQ728133.1|2023-03-18,USA/CA-CDC-QDX48008091/2023|OQ712754.1|2023-03-13,USA/CA-CDC-QDX48043667/2023|OQ713140.1|2023-03-15,USA/WI-CDC-LC1027053/2023|OQ660955.1|2023-03-07,USA/WI-CDC-LC1027091/2023|OQ660956.1|2023-03-07
avg_clade-2x1.0	cluster_353036	2	USA/VA-CDC-QDX48316290/2023|OQ783549.1|2023-03-24,USA/VA-CDC-LC1030398/2023|OQ712465.1|2023-03-18
avg_clade-2x1.0	cluster_391511	3	USA/WA-UW-23031619502/2023|OQ704032.1|2023-03-16,USA/WA-CDC-LC1028544/2023|OQ681858.1|2023-03-11,USA/WA-CDC-LC1028166/2023|OQ681632.1|2023-03-07
avg_clade-2x1.0	cluster_356599	2	USA/IL-CDC-QDX48591142/2023|OQ825684.1|2023-03-29,USA/HI-CDC-QDX48365828/2023|OQ782898.1|2023-03-23
avg_clade-2x1.0	cluster_342282	6	England/PHEC-YYEWFHT/2023|2023-03-29,England/PHEC-YYEORK9/2023|2023-03-24,England/PHEP-YYGOZ8W/2023|2023-03-17,England/PHEP-YYGOGSG/2023|2023-03-13,England/PHEP-YYGOFWM/2023|2023-03-14,England/PHEP-YYGOGAN/2023|2023-03-13
avg_clade-2x1.0	cluster_303307	3	England/PHEC-YYEUD5Z/2023|2023-04-05,England/PHEP-YYGTSAO/2023|2023-03-24,England/PHEP-YYGXOBK/2023|2023-03-08
avg_clade-2x1.0	cluster_352563	2	USA/VA-DCLS-15104/2023|OQ844065.1|2023-03-17,USA/VA-DCLS-15102/2023|OQ844064.1|2023-03-13
avg_clade-2x1.0	cluster_353462	4	USA/PHL2-A-E05-20230406/2023|OQ801349.1|2023-03-06,England/QEUH-32706C9D/2023|OX457577.1|2023-03-13,USA/NY-CDC-QDX47492873/2023|OQ654157.1|2023-03-01,England/DHSC-CYFKMEY/2023|2023-03-16
avg_clade-2x1.0	singleton_248307	1	England/BRBR-327004E6/2023|OX453784.1|2023-03-10
avg_clade-2x1.0	cluster_358036	5	USA/IL-CDC-LC1026987/2023|OQ660845.1|2023-03-06,USA/IL-CDC-QDX48144269/2023|OQ728181.1|2023-03-18,USA/IL-RIPHL_121567_G/2023|OQ738978.1|2023-03-19,USA/IL-CDC-QDX48415398/2023|OQ783953.1|2023-03-27,USA/CA-CDC-QDX48637081/2023|OQ825751.1|2023-03-30
avg_clade-2x1.0	cluster_384327	2	RNA|OX460849.1|2023-03-21,RNA|OX460871.1|2023-03-20
avg_clade-2x1.0	cluster_387150	5	USA/NV-CDC-VSX-A064977/2023|OQ691787.1|2023-03-14,USA/WA-CDC-UW23041061631/2023|OQ842359.1|2023-04-10,USA/WA-CDC-UW23032277711/2023|OQ833313.1|2023-03-22,USA/AZ-2023-0702/2023|OQ717026.1|2023-03-12,USA/NV-CDC-VSX-A064259/2023|OQ651445.1|2023-03-03
avg_clade-2x1.0	cluster_391450	2	USA/UT-UPHL-230407235679/2023|OQ802909.1|2023-03-30,USA/UT-UPHL-230407398249/2023|OQ802974.1|2023-03-30
avg_clade-2x1.0	cluster_353952	32	USA/MI-CDC-VSX-A064379/2023|OQ651593.1|2023-03-05,USA/NY-CDC-QDX48144018/2023|OQ728662.1|2023-03-20,England/PHEC-YYEWQCJ/2023|2023-04-13,England/PHEC-YYEUEI6/2023|2023-04-07,England/PHEC-YYET1CM/2023|2023-03-26,England/PHEC-YYEWZP6/2023|2023-04-13,England/PHEC-YYEWJ1B/2023|2023-04-11,England/PHEC-YYEWJ3U/2023|2023-04-11,England/PHEC-YYEU9GG/2023|2023-04-10,England/PHEC-YYEU9DC/2023|2023-04-09,England/PHEC-YYEUF4Z/2023|2023-04-05,England/PHEC-YYEUFHU/2023|2023-04-06,England/PHEC-YYEUEWY/2023|2023-04-07,England/PHEC-YYE1W9Y/2023|2023-03-30,England/PHEC-YYET1ON/2023|2023-03-27,England/PHEC-YYE1IY6/2023|2023-03-28,USA/CO-CDPHE-2103806653/2023|OQ758450.1|2023-03-08,USA/UT-UPHL-230324279673/2023|OQ850448.1|2023-03-08,USA/WA-CDC-UW23031195601/2023|OQ704365.1|2023-03-11,USA/WA-CDC-UW23031477540/2023|OQ704419.1|2023-03-14,England/BRBR-327132B9/2023|OX462051.1|2023-03-24,England/BRBR-3271328C/2023|OX462083.1|2023-03-24,England/BRBR-327133F2/2023|OX461964.1|2023-03-24,England/BRBR-327132B9/2023|2023-03-24,England/BRBR-3271328C/2023|2023-03-24,England/BRBR-327133F2/2023|2023-03-24,England/BRBR-3271342C/2023|2023-03-24,England/BRBR-327132F5/2023|2023-03-24,England/BRBR-32713495/2023|2023-03-24,USA/WA-CDC-UW23032999947/2023|OQ799159.1|2023-03-29,USA/WA-CDC-UW23040135745/2023|OQ799252.1|2023-04-01,USA/VA-CDC-LC1027490/2023|OQ661086.1|2023-03-07
avg_clade-2x1.0	cluster_392812	5	USA/NJ-CDC-LC1032306/2023|OQ734162.1|2023-03-23,USA/WA-CDC-UW23030304121/2023|OQ619272.1|2023-03-03,USA/NJ-CDC-LC1031171/2023|OQ733627.1|2023-03-15,England/PHEC-YYEQTJ3/2023|2023-03-08,USA/CO-CDC-QDX48415193/2023|OQ783834.1|2023-03-27
avg_clade-2x1.0	cluster_400568	3	England/PHEC-YYEJ6XK/2023|2023-03-03,England/PHEC-YYEQ1DR/2023|2023-03-19,England/PHEC-YYEQX4A/2023|2023-03-17
avg_clade-2x1.0	cluster_369427	1	USA/OR-CDC-VSX-A065354/2023|OQ748747.1|2023-03-25
avg_clade-2x1.0	singleton_258372	1	England/PHEP-YYGTNFM/2023|2023-03-20
avg_clade-2x1.0	cluster_356138	3	USA/FL-CDC-QDX48316508/2023|OQ783213.1|2023-03-25,USA/IL-RIPHL_121506_G/2023|OQ709976.1|2023-03-04,USA/WI-CDC-VSX-A064667/2023|OQ651820.1|2023-03-08
avg_clade-2x1.0	cluster_346744	5	England/PHEC-YYEX4O9/2023|2023-03-22,England/PHEC-YYEPXDJ/2023|2023-03-10,England/PHEC-YYEUXT9/2023|2023-04-05,England/PHEC-YYEXJYT/2023|2023-03-17,England/PHEC-YYEK1ZD/2023|2023-03-06
avg_clade-2x1.0	cluster_349837	6	NorthernIreland/QEUH-326F7B93/2023|OX454131.1|2023-03-02,Northern_Ireland/QEUH-326F7B93/2023|2023-03-02,England/PHEP-YYG15HB/2023|2023-04-10,England/PHEP-YYG15ZM/2023|2023-04-11,England/PHEP-YYG1ASO/2023|2023-04-12,USA/NY-CDC-LC1030274/2023|OQ712119.1|2023-03-12
avg_clade-2x1.0	cluster_375525	1	USA/IL-RIPHL_121582_G/2023|OQ738988.1|2023-03-21
avg_clade-2x1.0	cluster_389851	1	USA/CA-CDC-QDX48094866/2023|OQ727934.1|2023-03-16
avg_clade-2x1.0	cluster_306902	1	England/PHEC-YYEJUC5/2023|2023-03-05
avg_clade-2x1.0	cluster_391269	7	CHN/HLJCDC-0683/2023|C_AA003314.1|2023-03-24,CHN/HLJCDC-0928/2023|C_AA011424.1|2023-04-12,CHN/HLJCDC-0799/2023|C_AA011303.1|2023-04-06,CHN/HLJCDC-0553/2023|C_AA003194.1|2023-03-14,CHN/HLJCDC-0934/2023|C_AA011430.1|2023-04-10,CHN/HLJCDC-0652/2023|C_AA003286.1|2023-03-22,CHN/HLJCDC-0763/2023|C_AA003778.1|2023-03-28
avg_clade-2x1.0	cluster_393986	1	USA/OH-CDC-QDX47493165/2023|OQ654476.1|2023-03-02
avg_clade-2x1.0	cluster_394352	2	USA/MI-CDC-2-6966152/2023|OQ816929.1|2023-03-10,USA/MI-CDC-QDX48043802/2023|OQ713183.1|2023-03-16
avg_clade-2x1.0	cluster_397704	1	USA/NY-CDC-QDX47492282/2023|OQ654743.1|2023-03-03
avg_clade-2x1.0	cluster_398017	6	USA/TX-CDC-QDX47492579/2023|OQ654563.1|2023-03-03,USA/TX-CDC-QDX47870095/2023|OQ705486.1|2023-03-13,USA/TX-CDC-QDX48587273/2023|OQ825914.1|2023-04-01,USA/TX-CDC-QDX48365526/2023|OQ783323.1|2023-03-23,USA/FL-CDC-QDX48193210/2023|OQ782232.1|2023-03-18,USA/TX-CDC-QDX48192818/2023|OQ782423.1|2023-03-21
avg_clade-2x1.0	cluster_352093	2	USA/MN-CDC-VSX-A00534/2023|OQ691729.1|2023-03-09,USA/MN-CDC-LC1027265/2023|OQ660676.1|2023-03-03
avg_clade-2x1.0	cluster_402109	4	England/PHEC-YYEUQF3/2023|2023-04-05,England/BRBR-326F265B/2023|OX451781.1|2023-03-02,England/PLYM-32708518/2023|OX458403.1|2023-03-15,England/PLYM-32708518/2023|2023-03-15
avg_clade-2x1.0	cluster_361737	1	USA/CA-CDC-QDX47418635/2023|OQ643883.1|2023-03-01
