strain	date	iso_year	iso_week_nr	iso_week	S1_mutations	clade_membership	country	country_exposure	division	division_exposure	emerging_lineage	lineage	mutational_fitness	recency	region	region_exposure	author	accession	Health_region	location	originating_lab	submitting_lab	logistic_growth	Representative_sampling
Portugal/PT27669/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27667/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27610/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Coimbra	Coimbra	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Lousa	LAC UCoimbra	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27861/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Coimbra	Coimbra	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Condeixa-a-Nova	Labeto - CAB - Leiria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27146/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Vila de Rei	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27147/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27144/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27778/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Braga	Braga	20B	BA.2	0.78	New	Europe	Europe	INSA		NORTE	Braga	H Braga	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT28114/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Braga	Braga	20B	BA.2	0.77	New	Europe	Europe	INSA		NORTE	Terras de Bouro	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27151/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27141/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.78	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Lisboa	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27673/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27922/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Acores	Acores	20B	BA.2	0.77	New	Europe	Europe	INSA		ACORES-RA	Ponta Delgada	H Divino Espirito Santo - Ponta Delgada	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT25390/2022	2022-01-10	2022	2	2022W02	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27063/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27604/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.77	New	Europe	Europe	INSA		ALENTEJO	Santiago do Cacem	ULS Litoral Alentejano	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27678/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Serta	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27061/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27634/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27845/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Santarem	Santarem	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Cartaxo	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27449/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Odivelas	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27666/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27109/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Coimbra	Coimbra	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Coimbra	LAC UCoimbra	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27679/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Serta	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27459/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Guarda	Guarda	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Guarda	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT26572/2022	2022-01-23	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	One week ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27883/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Porto	Porto	20B	BA.2	0.77	New	Europe	Europe	INSA		NORTE	Gondomar	CH Porto - H Sto Antonio	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27964/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Acores	Acores	20B	BA.2	0.77	New	Europe	Europe	INSA		ACORES-RA	Angra do Heroismo	SEEBMO	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27632/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Lisboa	H Vila Franca Xira	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT25951/2022	2022-01-17	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	One month ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27868/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Aveiro	Aveiro	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Anadia	Avelab	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27615/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Leiria	Leiria	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Alvaiazere	LAC UCoimbra	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27867/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Aveiro	Aveiro	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Mealhada	Avelab	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT28081/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.77	New	Europe	Europe	INSA		MADEIRA-RA	Funchal	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT26478/2022	2022-01-24	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Santarem	Santarem	20B	BA.2	0.78	One week ago	Europe	Europe	INSA		LX V TEJO	Santarem	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27133/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.78	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	CHLC	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT26973/2022	2022-01-25	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Porto	Porto	20B	BA.2	0.77	One week ago	Europe	Europe	INSA		NORTE	Vila Nova de Gaia	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27025/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		ALENTEJO	Setubal	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28059/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.78	New	Europe	Europe	INSA		MADEIRA-RA	Funchal	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28060/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.78	New	Europe	Europe	INSA		MADEIRA-RA	Machico	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28064/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.76	New	Europe	Europe	INSA		MADEIRA-RA	Funchal	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27842/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Santarem	Santarem	20B	BA.2	0.76	New	Europe	Europe	INSA		LX V TEJO	Almeirim	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT25460/2022	2022-01-10	2022	2	2022W02	24.00	21L (Omicron)	Portugal	Portugal	Faro	Faro	20B	BA.2	0.80	One month ago	Europe	Europe	INSA		ALGARVE	Faro	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28061/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.77	New	Europe	Europe	INSA		MADEIRA-RA	Camara de Lobos	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27760/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Faro	Faro	20B	BA.2	0.77	New	Europe	Europe	INSA		ALGARVE	Sao Bras de Alportel	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27223/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Faro	Faro	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		ALGARVE	Castro Marim	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27753/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Faro	Faro	20B	BA.2	0.77	New	Europe	Europe	INSA		ALGARVE	Silves	ARS Algarve - Laboratorio Laura Ayres	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27514/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Lisboa	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27714/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.76	New	Europe	Europe	INSA		LX V TEJO	Setubal	CH Setubal	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT26901/2022	2022-01-23	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.76	One week ago	Europe	Europe	INSA		LX V TEJO	Loures	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28083/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.77	New	Europe	Europe	INSA		MADEIRA-RA	Funchal	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28089/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.77	New	Europe	Europe	INSA		MADEIRA-RA	Camara de Lobos	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27458/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.76	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Loures	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27455/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Vila Franca de Xira	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27939/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Lisboa	CHULN - H Santa Maria	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27834/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Santarem	Santarem	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Santarem	H Santarem	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27717/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Setubal	CH Setubal	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28057/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Evora	Evora	20B	BA.2	0.75	New	Europe	Europe	INSA		ALENTEJO	Arraiolos	ADC Evora	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27030/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Beja	Beja	20B	BA.2	0.84	3-7 days ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27898/2022	2022-02-05	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Acores	Acores	20B	BA.2	0.76	New	Europe	Europe	INSA		ACORES-RA	Ponta Delgada	H Divino Espirito Santo - Ponta Delgada	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27247/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		NORTE	Chaves	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27251/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		NORTE	Chaves	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT26969/2022	2022-01-23	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.76	One week ago	Europe	Europe	INSA		NORTE	Chaves	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT26966/2022	2022-01-23	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.76	One week ago	Europe	Europe	INSA		NORTE	Chaves	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28130/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.76	New	Europe	Europe	INSA		NORTE	Valpacos	UNILABS	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27812/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.76	New	Europe	Europe	INSA		NORTE	Chaves	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27810/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Vila Real	Vila Real	20B	BA.2	0.76	New	Europe	Europe	INSA		NORTE	Chaves	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27019/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Beja	Beja	20B	BA.2	0.76	3-7 days ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27017/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Beja	Beja	20B	BA.2	0.76	3-7 days ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27020/2022	2022-01-30	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Beja	Beja	20B	BA.2	0.76	3-7 days ago	Europe	Europe	INSA		ALENTEJO	Beja	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27166/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.76	3-7 days ago	Europe	Europe	INSA		LX V TEJO	Sintra	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT28069/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Madeira	Madeira	20B	BA.2	0.76	New	Europe	Europe	INSA		MADEIRA-RA	Funchal	SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT27640/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Lisboa	Lisboa	20B	BA.2	0.77	New	Europe	Europe	INSA		LX V TEJO	Amadora	H Fernando Fonseca	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT26703/2022	2022-01-25	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.76	One week ago	Europe	Europe	INSA		LX V TEJO	Setubal	CH Setubal	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
Portugal/PT25936/2022	2022-01-17	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Setubal	Setubal	20B	BA.2	0.76	One month ago	Europe	Europe	INSA		LX V TEJO	Setubal	CH Lisboa Central	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	15.86	Weekly
